disease_id,disease_name_en,red_flag
D01,Acute Upper Respiratory Tract Infection (Common Cold),Difficulty breathing/respiratory distress
D01,Acute Upper Respiratory Tract Infection (Common Cold),High fever >39C beyond 3 days
D01,Acute Upper Respiratory Tract Infection (Common Cold),Stridor or drooling in a child
D01,Acute Upper Respiratory Tract Infection (Common Cold),Symptoms persisting >10 days without improvement
D02,Essential (Primary) Hypertension,Severe headache with BP >180/120
D02,Essential (Primary) Hypertension,Chest pain
D02,Essential (Primary) Hypertension,Shortness of breath
D02,Essential (Primary) Hypertension,Visual disturbance or confusion
D02,Essential (Primary) Hypertension,Focal neurological deficit
D03,Dental Pulp and Periapical Disease,Facial swelling spreading to eye/neck (risk of cellulitis)
D03,Dental Pulp and Periapical Disease,Fever with dental pain
D03,Dental Pulp and Periapical Disease,Difficulty swallowing or opening mouth (trismus)
D04,Dyspepsia (Functional/Uninvestigated),Unintentional weight loss
D04,Dyspepsia (Functional/Uninvestigated),Vomiting blood or black stool (melena)
D04,Dyspepsia (Functional/Uninvestigated),Difficulty/pain swallowing (dysphagia)
D04,Dyspepsia (Functional/Uninvestigated),Age >45 with new-onset symptoms
D04,Dyspepsia (Functional/Uninvestigated),Palpable abdominal mass
D04,Dyspepsia (Functional/Uninvestigated),Persistent vomiting
D05,Type 2 Diabetes Mellitus,Confusion or altered consciousness (possible DKA/HHS)
D05,Type 2 Diabetes Mellitus,Very high or very low glucose with symptoms
D05,Type 2 Diabetes Mellitus,Non-healing foot ulcer with signs of infection
D05,Type 2 Diabetes Mellitus,Rapid unexplained weight loss with vomiting
D06,Hypertensive Heart Disease,Severe breathlessness at rest
D06,Hypertensive Heart Disease,Chest pain suggestive of acute coronary syndrome
D06,Hypertensive Heart Disease,Coughing pink/frothy sputum (pulmonary edema)
D06,Hypertensive Heart Disease,Syncope
D07,Dyslipidemia,Chest pain (possible underlying ischemic disease)
D07,Dyslipidemia,Calf pain with walking (peripheral artery disease)
D07,Dyslipidemia,Very high triglycerides with abdominal pain (pancreatitis risk)
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Joint swelling with redness and warmth (possible septic arthritis/gout flare)
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Fever with joint pain
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Symmetric small joint swelling (possible rheumatoid arthritis)
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Sudden severe monoarticular pain (gout/infection)
D09,Acute Diarrhea / Gastroenteritis,"Signs of severe dehydration (sunken eyes, lethargy, no urine output, very dry mouth)"
D09,Acute Diarrhea / Gastroenteritis,Blood or mucus in stool (dysentery)
D09,Acute Diarrhea / Gastroenteritis,High fever with severe abdominal pain
D09,Acute Diarrhea / Gastroenteritis,Diarrhea >14 days (chronic)
D09,Acute Diarrhea / Gastroenteritis,Infant/elderly with diarrhea
D10,HIV Infection,"Signs of opportunistic infection (severe cough, neurological symptoms, severe thrush)"
D10,HIV Infection,Rapid unexplained weight loss
D10,HIV Infection,"CD4-related emergency symptoms (confusion, severe headache)"
D11,Pulmonary Tuberculosis,Significant hemoptysis
D11,Pulmonary Tuberculosis,Severe breathlessness
D11,Pulmonary Tuberculosis,"Signs of disseminated/miliary TB (very unwell, altered consciousness)"
D11,Pulmonary Tuberculosis,Known HIV-positive with TB symptoms (urgent workup)
D12,Dengue Fever / Dengue Hemorrhagic Fever,Severe abdominal pain
D12,Dengue Fever / Dengue Hemorrhagic Fever,Persistent vomiting
D12,Dengue Fever / Dengue Hemorrhagic Fever,"Bleeding (gums, nose, black stool, heavy menstrual bleeding)"
D12,Dengue Fever / Dengue Hemorrhagic Fever,Lethargy/restlessness
D12,Dengue Fever / Dengue Hemorrhagic Fever,"Cold clammy skin, rapid weak pulse (shock)"
D12,Dengue Fever / Dengue Hemorrhagic Fever,Fever defervescence with clinical worsening (critical phase)
D13,Typhoid Fever,Severe abdominal pain with rigidity (possible perforation)
D13,Typhoid Fever,GI bleeding
D13,Typhoid Fever,Altered mental status
D13,Typhoid Fever,Persistent high fever >7 days unresponsive to treatment
D14,Bronchial Asthma,Inability to speak full sentences
D14,Bronchial Asthma,Use of accessory muscles/severe distress
D14,Bronchial Asthma,Cyanosis (bluish lips)
D14,Bronchial Asthma,Silent chest on auscultation
D14,Bronchial Asthma,Peak flow severely reduced
D15,Community-Acquired Pneumonia,Severe respiratory distress
D15,Community-Acquired Pneumonia,Confusion
D15,Community-Acquired Pneumonia,Low blood pressure
D15,Community-Acquired Pneumonia,Oxygen saturation low/cyanosis
D15,Community-Acquired Pneumonia,Very young or elderly with high fever and rapid breathing
D16,Gastritis / Peptic Ulcer Disease,Vomiting blood or coffee-ground vomitus
D16,Gastritis / Peptic Ulcer Disease,Black tarry stools (melena)
D16,Gastritis / Peptic Ulcer Disease,Severe sudden abdominal pain (possible perforation)
D16,Gastritis / Peptic Ulcer Disease,Significant unintentional weight loss
