disease_id,disease_name_en,category,question,purpose
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,"When did the symptoms start, and did they come on suddenly or gradually?",Establish onset/acuity
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,Is the nasal discharge clear/watery or thick and colored (yellow/green)?,Distinguish viral vs possible secondary bacterial infection
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,"Do you have a fever? If yes, how high and for how long?","Assess severity, rule out complications"
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,"Is there any shortness of breath, chest pain, or wheezing?","Screen for lower respiratory involvement (pneumonia, asthma)"
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,Do you have ear pain or reduced hearing?,Screen for otitis media as a complication
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,Have you been in contact with anyone with similar symptoms recently?,Assess exposure/transmission pattern
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,"Do you smoke, or is anyone in your household a smoker?",Identify irritant exposure and risk of prolonged symptoms
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,"Do you have any chronic lung disease, heart disease, or immune-suppressing condition?",Identify risk factors for complications
D01,Acute Upper Respiratory Tract Infection (Common Cold),Respiratory,Have you tried any medication already? Did it help?,"Guide further management, avoid duplicate therapy"
D02,Essential (Primary) Hypertension,Cardiovascular,Have you ever been told you have high blood pressure before? When was it diagnosed?,Establish known vs new diagnosis
D02,Essential (Primary) Hypertension,Cardiovascular,Are you currently taking any blood pressure medication? Do you take it regularly?,Assess adherence and control
D02,Essential (Primary) Hypertension,Cardiovascular,"Do you have headaches, dizziness, or blurred vision?",Screen for hypertensive symptoms/urgency
D02,Essential (Primary) Hypertension,Cardiovascular,"Do you experience chest pain, palpitations, or shortness of breath, especially on exertion?",Screen for hypertensive heart disease
D02,Essential (Primary) Hypertension,Cardiovascular,"Do you have a family history of hypertension, stroke, or heart disease?",Assess genetic/familial risk
D02,Essential (Primary) Hypertension,Cardiovascular,"How much salty food do you typically eat, and do you smoke or drink alcohol?",Identify modifiable lifestyle risk factors
D02,Essential (Primary) Hypertension,Cardiovascular,"Do you have diabetes, high cholesterol, or kidney disease?",Assess comorbidities/cardiovascular risk
D02,Essential (Primary) Hypertension,Cardiovascular,Have you had any swelling in your legs or changes in how much you urinate?,Screen for heart failure or renal involvement
D02,Essential (Primary) Hypertension,Cardiovascular,Do you check your blood pressure at home? What are typical readings?,Assess control and monitoring habits
D03,Dental Pulp and Periapical Disease,Dental/Oral,"Which tooth or area is painful, and how long has the pain been present?",Localize and establish duration
D03,Dental Pulp and Periapical Disease,Dental/Oral,"Is the pain constant or does it come and go? Is it worse with hot, cold, or sweet food?",Differentiate reversible vs irreversible pulpitis
D03,Dental Pulp and Periapical Disease,Dental/Oral,Does the pain wake you up at night or get worse when lying down?,Suggests irreversible pulpitis/abscess
D03,Dental Pulp and Periapical Disease,Dental/Oral,Is there any swelling of the face or gums?,Assess for spreading infection/abscess
D03,Dental Pulp and Periapical Disease,Dental/Oral,Do you have a fever or feel generally unwell?,Screen for systemic spread of infection
D03,Dental Pulp and Periapical Disease,Dental/Oral,Have you had any recent dental treatment or trauma to the tooth?,Identify precipitating cause
D03,Dental Pulp and Periapical Disease,Dental/Oral,Do you have difficulty opening your mouth or swallowing?,Screen for deep space infection (emergency)
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,"Where exactly is the discomfort, and does it relate to eating (before, during, or after meals)?",Localize and characterize meal relationship
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,"How long have you had these symptoms, and are they constant or intermittent?",Establish chronicity
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,"Have you noticed any weight loss, difficulty swallowing, or vomiting blood/black stools?",Screen for alarm features requiring urgent referral/endoscopy
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,"Do you regularly take NSAIDs, aspirin, steroids, or herbal/jamu preparations?",Identify gastric mucosal irritants
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,"How would you describe your eating pattern - do you often skip meals, eat late, or eat spicy/fatty food?",Identify contributing lifestyle factors
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,Do you smoke or drink coffee/alcohol regularly?,Identify additional gastric irritant exposure
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,Is the pain related to stress or does it improve with antacids?,Support functional dyspepsia vs organic cause
D04,Dyspepsia (Functional/Uninvestigated),Gastrointestinal,Do you have a family history of stomach cancer or peptic ulcer disease?,Assess risk stratification
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,"Have you been diagnosed with diabetes before? If so, when, and what treatment are you on?",Establish known vs new diagnosis
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,"Do you experience excessive thirst, frequent urination, or unexplained weight loss?",Classic hyperglycemia symptoms
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,Do you check your blood sugar at home? What are your recent readings?,Assess current control
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,"Do you have numbness, tingling, or pain in your feet, or any wounds that are slow to heal?",Screen for diabetic neuropathy/foot complications
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,Have you had any changes in your vision recently?,Screen for diabetic retinopathy
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,Do you have a family history of diabetes?,Assess genetic risk
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,"What does your diet typically look like, and how physically active are you?","Assess lifestyle contributors, guide counseling"
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,"Do you have high blood pressure, high cholesterol, or any history of heart or kidney problems?",Assess associated cardiometabolic risk
D05,Type 2 Diabetes Mellitus,Endocrine/Metabolic,"Are you taking your medications regularly, and have you had any episodes of very low blood sugar (shakiness, sweating, confusion)?",Assess adherence and hypoglycemia risk
D06,Hypertensive Heart Disease,Cardiovascular,"How long have you had high blood pressure, and has it been well controlled?",Establish chronicity and control history
D06,Hypertensive Heart Disease,Cardiovascular,"Do you get short of breath with activity, or when lying flat at night?",Screen for heart failure symptoms
D06,Hypertensive Heart Disease,Cardiovascular,Have you noticed swelling in your legs or ankles?,Screen for fluid overload/right heart strain
D06,Hypertensive Heart Disease,Cardiovascular,"Do you have chest pain or tightness, and does it relate to exertion?",Screen for concurrent ischemic heart disease
D06,Hypertensive Heart Disease,Cardiovascular,Do you wake up at night gasping for breath or needing extra pillows to sleep?,Assess for paroxysmal nocturnal dyspnea/orthopnea
D06,Hypertensive Heart Disease,Cardiovascular,Are you taking your antihypertensive medications as prescribed?,Assess adherence
D06,Hypertensive Heart Disease,Cardiovascular,"Do you have diabetes, high cholesterol, or a history of kidney disease?",Assess overall cardiovascular risk profile
D06,Hypertensive Heart Disease,Cardiovascular,Have you had any palpitations or episodes of dizziness/fainting?,Screen for arrhythmia
D07,Dyslipidemia,Endocrine/Metabolic,Have you ever had a cholesterol test done? What were the results?,Establish baseline/diagnosis
D07,Dyslipidemia,Endocrine/Metabolic,"Do you have a family history of high cholesterol, early heart attack, or stroke?",Assess familial hyperlipidemia risk
D07,Dyslipidemia,Endocrine/Metabolic,"What does your typical diet look like - fried foods, fatty meats, coconut milk (santan)?",Identify dietary contributors common in Javanese cuisine
D07,Dyslipidemia,Endocrine/Metabolic,Do you exercise regularly?,Assess modifiable lifestyle factor
D07,Dyslipidemia,Endocrine/Metabolic,"Do you have diabetes, hypertension, or thyroid problems?",Identify secondary causes/associated conditions
D07,Dyslipidemia,Endocrine/Metabolic,Are you currently taking any cholesterol-lowering medication? Any muscle pain since starting it?,Assess treatment and statin side effects
D07,Dyslipidemia,Endocrine/Metabolic,Do you smoke or drink alcohol?,Assess additional cardiovascular risk factors
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"Which muscles or joints are affected, and is it one-sided or both sides?",Localize and assess symmetry
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"How long have you had this pain, and did it start suddenly or gradually?",Establish onset/chronicity
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"Is there any swelling, redness, or warmth over the joint?",Screen for inflammatory or infectious arthritis
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"Is the stiffness worse in the morning, and how long does it last?",Differentiate inflammatory vs mechanical cause
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,Does activity make it better or worse?,Differentiate mechanical (worse with use) vs inflammatory (better with use)
