disease_id,disease_name_en,symptom
D01,Acute Upper Respiratory Tract Infection (Common Cold),Runny/blocked nose
D01,Acute Upper Respiratory Tract Infection (Common Cold),Sore throat
D01,Acute Upper Respiratory Tract Infection (Common Cold),Cough
D01,Acute Upper Respiratory Tract Infection (Common Cold),Sneezing
D01,Acute Upper Respiratory Tract Infection (Common Cold),Mild fever
D01,Acute Upper Respiratory Tract Infection (Common Cold),Malaise
D01,Acute Upper Respiratory Tract Infection (Common Cold),Headache
D02,Essential (Primary) Hypertension,Often asymptomatic (found on screening)
D02,Essential (Primary) Hypertension,Headache (esp. occipital)
D02,Essential (Primary) Hypertension,Dizziness
D02,Essential (Primary) Hypertension,Blurred vision
D02,Essential (Primary) Hypertension,Palpitations
D02,Essential (Primary) Hypertension,Nape/neck stiffness ('tengeng')
D02,Essential (Primary) Hypertension,Fatigue
D03,Dental Pulp and Periapical Disease,Toothache
D03,Dental Pulp and Periapical Disease,Sensitivity to hot/cold
D03,Dental Pulp and Periapical Disease,Facial swelling
D03,Dental Pulp and Periapical Disease,Pain on chewing
D03,Dental Pulp and Periapical Disease,Bad taste/odor
D03,Dental Pulp and Periapical Disease,Gum swelling
D04,Dyspepsia (Functional/Uninvestigated),Upper abdominal discomfort/pain
D04,Dyspepsia (Functional/Uninvestigated),Bloating
D04,Dyspepsia (Functional/Uninvestigated),Early satiety
D04,Dyspepsia (Functional/Uninvestigated),Nausea
D04,Dyspepsia (Functional/Uninvestigated),Belching
D04,Dyspepsia (Functional/Uninvestigated),Heartburn
D04,Dyspepsia (Functional/Uninvestigated),Loss of appetite
D05,Type 2 Diabetes Mellitus,Excessive thirst (polydipsia)
D05,Type 2 Diabetes Mellitus,Frequent urination (polyuria)
D05,Type 2 Diabetes Mellitus,Increased hunger (polyphagia)
D05,Type 2 Diabetes Mellitus,Unexplained weight loss
D05,Type 2 Diabetes Mellitus,Fatigue
D05,Type 2 Diabetes Mellitus,Blurred vision
D05,Type 2 Diabetes Mellitus,Slow-healing wounds
D05,Type 2 Diabetes Mellitus,Tingling/numbness in feet
D06,Hypertensive Heart Disease,Shortness of breath on exertion
D06,Hypertensive Heart Disease,Chest discomfort
D06,Hypertensive Heart Disease,Palpitations
D06,Hypertensive Heart Disease,Leg swelling (edema)
D06,Hypertensive Heart Disease,Fatigue
D06,Hypertensive Heart Disease,Orthopnea (breathlessness lying flat)
D06,Hypertensive Heart Disease,Nocturnal cough
D07,Dyslipidemia,Usually asymptomatic
D07,Dyslipidemia,Xanthelasma (yellowish eyelid deposits)
D07,Dyslipidemia,Xanthoma (skin/tendon lipid deposits)
D07,Dyslipidemia,Occasionally associated with early cardiovascular symptoms
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Muscle or joint aches
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),"Stiffness, worse in the morning or after rest"
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Reduced range of motion
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Localized tenderness
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Fatigue
D09,Acute Diarrhea / Gastroenteritis,Frequent loose/watery stools
D09,Acute Diarrhea / Gastroenteritis,Abdominal cramps
D09,Acute Diarrhea / Gastroenteritis,Nausea/vomiting
D09,Acute Diarrhea / Gastroenteritis,Fever
D09,Acute Diarrhea / Gastroenteritis,Urgency
D09,Acute Diarrhea / Gastroenteritis,"Signs of dehydration (thirst, dry mouth)"
D10,HIV Infection,Often asymptomatic in early stage
D10,HIV Infection,Recurrent fevers
D10,HIV Infection,Unexplained weight loss
D10,HIV Infection,Chronic diarrhea
D10,HIV Infection,Recurrent oral thrush
D10,HIV Infection,Generalized lymphadenopathy
D10,HIV Infection,Recurrent skin infections
D10,HIV Infection,Prolonged fatigue
D11,Pulmonary Tuberculosis,Cough lasting >2 weeks
D11,Pulmonary Tuberculosis,Blood-streaked sputum (hemoptysis)
D11,Pulmonary Tuberculosis,"Low-grade fever, often evening/night"
D11,Pulmonary Tuberculosis,Night sweats
D11,Pulmonary Tuberculosis,Unintentional weight loss
D11,Pulmonary Tuberculosis,Loss of appetite
D11,Pulmonary Tuberculosis,Chest pain
D11,Pulmonary Tuberculosis,Fatigue
D12,Dengue Fever / Dengue Hemorrhagic Fever,Sudden high fever
D12,Dengue Fever / Dengue Hemorrhagic Fever,Severe headache
D12,Dengue Fever / Dengue Hemorrhagic Fever,Retro-orbital (behind-eye) pain
D12,Dengue Fever / Dengue Hemorrhagic Fever,Muscle and joint pain ('breakbone fever')
D12,Dengue Fever / Dengue Hemorrhagic Fever,Skin rash
D12,Dengue Fever / Dengue Hemorrhagic Fever,Nausea/vomiting
D12,Dengue Fever / Dengue Hemorrhagic Fever,Mild bleeding gums or easy bruising
D13,Typhoid Fever,Prolonged (stepwise rising) fever
D13,Typhoid Fever,Headache
D13,Typhoid Fever,Abdominal pain/discomfort
D13,Typhoid Fever,Constipation or diarrhea
D13,Typhoid Fever,Loss of appetite
D13,Typhoid Fever,Malaise
D13,Typhoid Fever,Coated tongue
D13,Typhoid Fever,Relative bradycardia
D14,Bronchial Asthma,Episodic wheezing
D14,Bronchial Asthma,Shortness of breath
D14,Bronchial Asthma,Chest tightness
D14,Bronchial Asthma,Cough (often nocturnal)
D14,Bronchial Asthma,"Symptoms triggered by exercise, cold air, or allergens"
D15,Community-Acquired Pneumonia,Cough with sputum
D15,Community-Acquired Pneumonia,Fever with chills
D15,Community-Acquired Pneumonia,Shortness of breath
D15,Community-Acquired Pneumonia,Pleuritic chest pain (worse with breathing)
D15,Community-Acquired Pneumonia,Fatigue
D15,Community-Acquired Pneumonia,Fast breathing
D16,Gastritis / Peptic Ulcer Disease,Burning epigastric pain
D16,Gastritis / Peptic Ulcer Disease,Pain related to meals (before or after eating)
D16,Gastritis / Peptic Ulcer Disease,Bloating
D16,Gastritis / Peptic Ulcer Disease,Nausea
D16,Gastritis / Peptic Ulcer Disease,Acid regurgitation
D16,Gastritis / Peptic Ulcer Disease,Early fullness
D17,Gastroesophageal Reflux Disease (GERD),Heartburn (burning sensation rising to chest/throat)
D17,Gastroesophageal Reflux Disease (GERD),Acid regurgitation
D17,Gastroesophageal Reflux Disease (GERD),Sour taste in mouth
D17,Gastroesophageal Reflux Disease (GERD),Chronic cough or hoarseness
D17,Gastroesophageal Reflux Disease (GERD),Worse when lying down or after large meals
D18,Osteoarthritis,Joint pain worse with activity
D18,Osteoarthritis,Morning stiffness <30 minutes
D18,Osteoarthritis,Joint swelling
D18,Osteoarthritis,Crepitus (grinding sensation)
D18,Osteoarthritis,Reduced range of motion
D18,Osteoarthritis,Pain relieved by rest
D19,Gout / Hyperuricemia,Sudden severe joint pain (classically big toe)
D19,Gout / Hyperuricemia,Redness and swelling of joint
D19,Gout / Hyperuricemia,Warmth over joint
D19,Gout / Hyperuricemia,Extreme tenderness (even light touch is painful)
D19,Gout / Hyperuricemia,Recurrent episodes
D20,Rheumatoid Arthritis,"Symmetric joint pain and swelling (hands, wrists, feet)"
D20,Rheumatoid Arthritis,Morning stiffness >1 hour
D20,Rheumatoid Arthritis,Fatigue
D20,Rheumatoid Arthritis,Low-grade fever
D20,Rheumatoid Arthritis,Joint deformity in advanced disease
D21,Tension-Type Headache / Migraine,Bilateral pressing/tightening head pain (tension type)
D21,Tension-Type Headache / Migraine,"Unilateral throbbing pain, nausea, light/sound sensitivity (migraine)"
D21,Tension-Type Headache / Migraine,Neck/shoulder tightness
D21,Tension-Type Headache / Migraine,Stress-related triggers
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Sudden spinning sensation triggered by head/position change
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Brief episodes (seconds to minutes)
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Nausea/vomiting during episodes
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Nystagmus (eye movement) during episodes
D23,Non-specific Low Back Pain,Dull or aching lower back pain
D23,Non-specific Low Back Pain,Stiffness
D23,Non-specific Low Back Pain,Pain worse with certain movements/positions
D23,Non-specific Low Back Pain,Muscle spasm
D23,Non-specific Low Back Pain,Pain relieved by rest
D24,Iron Deficiency Anemia,Fatigue/weakness
D24,Iron Deficiency Anemia,Pale skin/conjunctiva
D24,Iron Deficiency Anemia,Shortness of breath on exertion
D24,Iron Deficiency Anemia,Dizziness
D24,Iron Deficiency Anemia,Palpitations
D24,Iron Deficiency Anemia,"Brittle nails, hair loss"
D24,Iron Deficiency Anemia,Pica (craving non-food items like ice or dirt)
D24,Iron Deficiency Anemia,Reduced concentration
D25,Chronic Kidney Disease,Often asymptomatic in early stages
D25,Chronic Kidney Disease,Fatigue
D25,Chronic Kidney Disease,Swelling of legs/face
D25,Chronic Kidney Disease,Frothy urine
D25,Chronic Kidney Disease,Decreased urine output
D25,Chronic Kidney Disease,Poor appetite
D25,Chronic Kidney Disease,Nausea
D25,Chronic Kidney Disease,Itching
D25,Chronic Kidney Disease,Difficulty sleeping
D26,Chronic Obstructive Pulmonary Disease (COPD),Chronic productive cough
D26,Chronic Obstructive Pulmonary Disease (COPD),Progressive breathlessness
D26,Chronic Obstructive Pulmonary Disease (COPD),Wheezing
D26,Chronic Obstructive Pulmonary Disease (COPD),Chest tightness
D26,Chronic Obstructive Pulmonary Disease (COPD),Frequent respiratory infections
